maxhoog;gemhoog;gesnoeid;hoog_na_snoei;biotooptyp;vegtype;toestel;opm;name_trimble;maxhoog_trimble;x_lambert;y_lambert;maaiveld_taw_m;hzprec;vtprec;PDOP;satellites;date;time;;;;;;;;;;
50;43;20;23;braam;braam;R8;;1;50;77.413,05;227.863,04;4,93;7;10;1.624;18;04/05/2020;11:08:32;;;;;;;;;;
49;31;17;14;gras;gras;R8;;2;50;77.412,35;227.865,55;5,06;6;9;1.624;19;04/05/2020;11:08:50;;;;;;;;;;
58;50;37;13;braam;braam;R8;;3;58;77.414,18;227.871,06;5,14;6;8;1.147;21;04/05/2020;11:12:34;;;;;;;;;;
38;25;15;10;gras;gras;R8;;4;38;77.417,95;227.879,15;4,89;7;10;1.237;19;04/05/2020;11:14:05;;;;;;;;;;
46;42;7;35;boom;berk;R8;;5;46;77.420,53;227.885,08;4,79;6;10;1.204;20;04/05/2020;11:15:58;;;;;;;;;;
48;34;22;12;boom;wilg;R8;;6;34;77.429,71;227.888,23;4,59;6;9;1.168;21;04/05/2020;11:18:48;;;;;;;;;;
25;20;12;8;struweel;meidoorn;R8;;7;25;77.436,95;227.894,15;4,59;6;10;1.169;21;04/05/2020;11:21:20;;;;;;;;;;
36;30;20;10;gras;gras;R8;;8;36;77.449,09;227.895,11;4,64;6;10;1.169;21;04/05/2020;11:23:12;;;;;;;;;;
85;77;50;27;struweel;meidoorn;R8;;9;85;77.453,84;227.900,51;4,90;6;10;1.189;21;04/05/2020;11:25:52;;;;;;;;;;
40;40;32;8;braam;braam;R8;;10;40;77.470,48;227.893,12;5,05;5;9;1.100;26;04/05/2020;11:28:54;;;;;;;;;;
70;65;40;25;gras;pitrus;R8;;11;70;77.479,94;227.893,55;4,52;5;10;1.101;26;04/05/2020;11:35:02;;;;;;;;;;
65;54;34;20;gras;pitrus;R8;;12;65;77.487,92;227.891,45;4,57;5;8;1.116;26;04/05/2020;11:36:34;;;;;;;;;;
40;36;30;6;braam;braam;R8;;13;40;77.502,92;227.893,17;5,97;4;7;1.104;26;04/05/2020;11:39:06;;;;;;;;;;
28;25;15;10;braam;braam;R8;;14;28;77.505,05;227.910,63;5,54;4;8;1.155;25;04/05/2020;11:42:02;;;;;;;;;;
28;25;12;13;boom;berk;R8;;15;28;77.504,03;227.919,00;4,92;5;9;1.150;26;04/05/2020;11:44:01;;;;;;;;;;
20;14;6;8;braam;braam;R8;;16;20;77.512,92;227.923,30;5,64;5;9;1.237;25;04/05/2020;11:46:21;;;;;;;;;;
70;65;57;8;struweel;roos;R8;;17;70;77.517,13;227.920,42;5,52;5;10;1.433;24;04/05/2020;11:48:31;;;;;;;;;;
40;30;16;14;boom;wilg/pitrus;R8;;18;40;77.525,12;227.923,35;4,42;6;13;1.449;23;04/05/2020;11:51:06;;;;;;;;;;
30;20;13;7;gras;gras;R8;;19;30;77.530,75;227.931,61;4,92;5;9;1.375;22;04/05/2020;11:53:18;;;;;;;;;;
24;15;11;4;gras;gras;R8;;20;25;77.536,06;227.928,27;4,77;5;10;1.385;22;04/05/2020;11:54:59;;;;;;;;;;
108;95;35;60;duindoorn;duindoorn;R8;;21;108;77.535,01;227.942,62;5,11;5;11;1.526;20;04/05/2020;11:59:07;;;;;;;;;;
45;28;18;10;gras;gras;R8;;22;45;77.524,94;227.940,15;4,80;6;12;1.609;21;04/05/2020;12:00:48;;;;;;;;;;
22;20;15;5;gras;gras;R8;;23;22;77.514,21;227.960,98;4,75;7;14;1.560;21;04/05/2020;12:03:25;;;;;;;;;;
35;30;16;14;gras;gras;R8;;24;35;77.512,24;227.975,10;4,80;5;10;1.388;23;04/05/2020;12:05:28;;;;;;;;;;
